fecha;codigo_empresa;id_genero;id_estado civil;fecha_nacimiento;tipo_nomina;fecha_ingreso;id_cargo;tipo_cargo;nivel_cargo;tipo_area;clase_empleado;porcent_riesgo;salario;total_salario;cedula_anonimizada;ubicacion_anonimizada;fechafin_contrato;causa_salida;tipo_retiro;retiro;status
1/05/2020;21;M;SOLTERO;15/05/1999;APRENDIZ;4/05/2020;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;0;438902;438902;1;4;31/08/2020;RETIRO VOLUNTARIO;NO DESEADO;1;INACTIVO
1/06/2020;21;M;SOLTERO;15/05/1999;NS;4/05/2020;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;0;438902;438902;1;4;31/08/2020;RETIRO VOLUNTARIO;NO DESEADO;1;INACTIVO
31/07/2020;21;M;SOLTERO;;APRENDIZ;;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;877803;877803;1;4;31/08/2020;RETIRO VOLUNTARIO;NO DESEADO;1;INACTIVO
31/08/2020;21;M;SOLTERO;15/05/1999;APRENDIZ;4/05/2020;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;877803;877803;1;4;31/08/2020;RETIRO VOLUNTARIO;NO DESEADO;1;INACTIVO
31/07/2019;21;M;SOLTERO;10/11/2000;APRENDIZ;23/07/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;0,522;828116;828116;2;4;22/01/2020;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
31/08/2019;21;M;SOLTERO;10/11/2000;APRENDIZ;23/07/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;0,522;828116;828116;2;4;22/01/2020;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
30/09/2019;21;M;SOLTERO;10/11/2000;APRENDIZ;23/07/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;0,522;828116;828116;2;4;22/01/2020;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
31/10/2019;21;M;SOLTERO;10/11/2000;APRENDIZ;23/07/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;0,522;828116;828116;2;4;22/01/2020;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
30/11/2019;21;M;SOLTERO;10/11/2000;APRENDIZ;23/07/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;0,522;828116;828116;2;4;22/01/2020;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
31/12/2019;21;M;SOLTERO;10/11/2000;APRENDIZ;23/07/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;0,522;828116;828116;2;4;22/01/2020;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
31/12/2020;21;NS;SOLTERO;10/11/2000;APRENDIZ;23/07/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;0,522;828116;828116;2;4;22/01/2020;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
30/06/2019;21;F;SOLTERO;9/04/2001;APRENDIZ;17/06/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;828116;828116;3;4;16/12/2019;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
31/07/2019;21;F;SOLTERO;9/04/2001;APRENDIZ;17/06/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;828116;828116;3;4;16/12/2019;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
31/08/2019;21;F;SOLTERO;9/04/2001;APRENDIZ;17/06/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;828116;828116;3;4;16/12/2019;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
30/09/2019;21;F;SOLTERO;9/04/2001;APRENDIZ;17/06/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;828116;828116;3;4;16/12/2019;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
31/10/2019;21;F;SOLTERO;9/04/2001;APRENDIZ;17/06/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;828116;828116;3;4;16/12/2019;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
30/11/2019;21;F;SOLTERO;9/04/2001;APRENDIZ;17/06/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;828116;828116;3;4;16/12/2019;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
31/12/2020;21;NS;SOLTERO;9/04/2001;APRENDIZ;17/06/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;828116;828116;3;4;16/12/2019;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
1/03/2020;21;F;SOLTERO;18/06/2000;NS;3/02/2020;84049;PASANTES;7;ADMINISTRATIVO;NS;4,35;877803;0;5;4;2/08/2020;VENCIMIENTO DE CONTRATO;NO DESEADO;1;INACTIVO
1/04/2020;21;F;SOLTERO;18/06/2000;APRENDIZ;3/02/2020;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;877803;877803;5;4;2/08/2020;VENCIMIENTO DE CONTRATO;NO DESEADO;1;INACTIVO
1/05/2020;21;F;SOLTERO;18/06/2000;APRENDIZ;3/02/2020;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;877803;877803;5;4;2/08/2020;VENCIMIENTO DE CONTRATO;NO DESEADO;1;INACTIVO
1/06/2020;21;F;SOLTERO;18/06/2000;NS;3/02/2020;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;877803;877803;5;4;2/08/2020;VENCIMIENTO DE CONTRATO;NO DESEADO;1;INACTIVO
31/07/2020;21;F;SOLTERO;;APRENDIZ;;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;877803;877803;5;4;2/08/2020;VENCIMIENTO DE CONTRATO;NO DESEADO;1;INACTIVO
31/08/2020;21;F;SOLTERO;18/06/2000;TERMINO INDEFINIDO;10/08/2020;84728;OPERATIVO;6;PLANTA;DIRECTOS DE PRODUCCION;4,35;1540700;1540700;5;4;2/08/2020;VENCIMIENTO DE CONTRATO;NO DESEADO;1;INACTIVO
31/05/2019;21;F;SOLTERO;7/09/2000;APRENDIZ;13/05/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;828116;828116;6;4;12/11/2019;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
30/06/2019;21;F;SOLTERO;7/09/2000;APRENDIZ;13/05/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;828116;828116;6;4;12/11/2019;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
31/07/2019;21;F;SOLTERO;7/09/2000;APRENDIZ;13/05/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;828116;828116;6;4;12/11/2019;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
31/08/2019;21;F;SOLTERO;7/09/2000;APRENDIZ;13/05/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;828116;828116;6;4;12/11/2019;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
30/09/2019;21;F;SOLTERO;7/09/2000;APRENDIZ;13/05/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;828116;828116;6;4;12/11/2019;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
31/10/2019;21;F;SOLTERO;7/09/2000;APRENDIZ;13/05/2019;84049;PASANTES;7;ADMINISTRATIVO;ADMINISTRACION CENTRAL;4,35;828116;828116;6;4;12/11/2019;VENCIMIENTO DE CONTRATO;NO APLICA;1;INACTIVO
